sample_id,cohort,bin_group,chromosome,source_id,bins,summed_bin_bp,length_weighted_mean_depth_x,zero_depth_bins,zero_depth_bin_fraction,bp_in_zero_depth_bins,fraction_bp_in_zero_depth_bins,reference_retained_bins,zero_depth_reference_retained_bins
SRR4039087,cnv_reference_exomes,target,chr1,CNVC005,28110,6799761,87.78353029522879,3581,0.12739238705087158,891674,0.13113313835589221,20549,182
SRR4039087,cnv_reference_exomes,target,chr2,CNVC005,21815,5235222,142.82974891924331,1858,0.08517075406830163,460152,0.08789541303119523,17083,66
SRR4039087,cnv_reference_exomes,target,chr3,CNVC005,16686,3994945,97.98724966485402,1501,0.08995565144432459,373242,0.09342857035578712,12926,96
SRR4039087,cnv_reference_exomes,target,chr4,CNVC005,10924,2618577,138.4697466912716,864,0.07909190772610765,213570,0.0815595646032177,8708,35
SRR4039087,cnv_reference_exomes,target,chr5,CNVC005,12815,3093505,113.91399839732216,1234,0.0962934061646508,308949,0.09987021194405699,9870,47
SRR4039087,cnv_reference_exomes,target,chr6,CNVC005,14278,3251368,94.59332085523177,1133,0.07935285053929121,275200,0.08464129560234339,11261,75
SRR4039087,cnv_reference_exomes,target,chr7,CNVC005,14824,3029264,99.76465810123685,2138,0.144225580140313,476123,0.15717448198638348,10504,83
SRR4039087,cnv_reference_exomes,target,chr8,CNVC005,9944,2039388,105.04641432275379,1509,0.1517497988736927,341203,0.1673065645183751,7036,57
SRR4039087,cnv_reference_exomes,target,chr9,CNVC005,12371,2564860,107.18899928089479,1994,0.16118341282030554,432066,0.16845597810406807,8467,98
SRR4039087,cnv_reference_exomes,target,chr10,CNVC005,11954,2416591,118.29244335583886,1246,0.104232892755563,274750,0.11369321494617832,8993,52
SRR4039087,cnv_reference_exomes,target,chr11,CNVC005,16180,3403876,75.10312429546299,2844,0.1757725587144623,619525,0.18200574874055342,10886,116
SRR4039087,cnv_reference_exomes,target,chr12,CNVC005,15195,3087536,91.26000313223234,1522,0.10016452780519908,334449,0.10832229972379269,11588,103
SRR4039087,cnv_reference_exomes,target,chr13,CNVC005,5498,1110200,135.3414686399219,387,0.07038923244816297,85430,0.07695009908124663,4344,12
SRR4039087,cnv_reference_exomes,target,chr14,CNVC005,9325,1925593,92.96390917802901,1133,0.12150134048257373,251622,0.13067247336275112,6784,55
SRR4039087,cnv_reference_exomes,target,chr15,CNVC005,10804,2203008,97.78550019378201,1156,0.10699740836727138,253937,0.1152683058799605,7891,82
SRR4039087,cnv_reference_exomes,target,chr16,CNVC005,12428,2613435,75.08240513371946,3324,0.26746057289990344,727920,0.27852998065764023,6963,132
SRR4039087,cnv_reference_exomes,target,chr17,CNVC005,16485,3435237,55.94872051481958,3417,0.20727934485896268,744119,0.21661358444846746,10141,180
SRR4039087,cnv_reference_exomes,target,chr18,CNVC005,4678,965949,116.4771535436524,547,0.11693031209918768,129827,0.13440357617224097,3563,11
SRR4039087,cnv_reference_exomes,target,chr19,CNVC005,16392,3578782,48.61722004390175,5252,0.3204001952171791,1162033,0.3247006942585494,7864,181
SRR4039087,cnv_reference_exomes,target,chr20,CNVC005,7212,1478159,48.304196900183165,1409,0.19536882972823072,312212,0.2112167906158945,4581,66
SRR4039087,cnv_reference_exomes,target,chr21,CNVC005,3161,654585,101.98685181663528,526,0.1664030370136033,111968,0.17105188783733205,2137,22
SRR4039087,cnv_reference_exomes,target,chr22,CNVC005,6636,1369914,44.27636639552496,1727,0.2602471368294153,369126,0.2694519509983838,3549,83
SRR4039087,cnv_reference_exomes,target,chrX,CNVC005,11407,2376501,74.58856808005989,1171,0.10265626369772947,262478,0.11044724996959816,8259,48
SRR4039087,cnv_reference_exomes,target,chrY,CNVC005,1126,219129,352.37996211554565,217,0.19271758436944939,44337,0.20233287241761702,700,0
SRR4039087,cnv_reference_exomes,target,chrUn_KI270742v1,CNVC005,11,2977,1931.0037048034933,0,0.0,0,0.0,7,0
SRR4039087,cnv_reference_exomes,target,chr1_KI270706v1_random,CNVC005,11,2225,1275.5829860674157,0,0.0,0,0.0,7,0
SRR4039087,cnv_reference_exomes,target,chr1_KI270711v1_random,CNVC005,1,38,10.9211,0,0.0,0,0.0,0,0
SRR4039087,cnv_reference_exomes,target,chr1_KI270766v1_alt,CNVC005,11,2876,31.37586543741308,6,0.5454545454545454,1503,0.5226008344923505,2,0
SRR4039087,cnv_reference_exomes,target,chr4_GL000008v2_random,CNVC005,16,3998,1000.3289538269134,0,0.0,0,0.0,12,0
SRR4039087,cnv_reference_exomes,target,chr7_KI270803v1_alt,CNVC005,52,11976,2.134604912959252,31,0.5961538461538461,6255,0.5222945891783567,8,0
SRR4039087,cnv_reference_exomes,target,chr14_GL000009v2_random,CNVC005,11,2731,1675.6307308311973,0,0.0,0,0.0,10,0
SRR4039087,cnv_reference_exomes,target,chr14_KI270846v1_alt,CNVC005,2,327,0.0,2,1.0,327,1.0,0,0
SRR4039087,cnv_reference_exomes,target,chr15_KI270850v1_alt,CNVC005,64,13484,2.095074769703352,44,0.6875,8587,0.6368288341738356,2,1
SRR4039087,cnv_reference_exomes,target,chr15_KI270851v1_alt,CNVC005,1,42,0.0,1,1.0,42,1.0,0,0
SRR4039087,cnv_reference_exomes,target,chr17_KI270857v1_alt,CNVC005,3,180,0.0,3,1.0,180,1.0,0,0
