abundance_decile,n_proteins,mean_abund_lo,mean_abund_hi,vendor_cv_median,vendor_cv_q25,vendor_cv_q75,n_bridge_diffs,bridge_sd_diff,bridge_median_abs_diff,bridge_sd_single,bridge_cv_pct_per_measurement,n_paired_genes_decile,prot_sd_median_decile,observed_to_technical_sd_ratio,technical_variance_share_pct,approx_reliability_ratio
1,836,4.081569221448865,8.681417689846125,11.02665772415327,6.2022620249336855,18.110074945930364,1652,0.42915252169767315,0.20649948781482763,0.30345665825573165,21.268823221209267,727,0.36972356373021703,1.218373542552625,67.36573939393686,0.3263426060606314
2,836,8.681989080530725,9.492399671119514,9.557429885750173,5.894554775100553,15.16706537101743,2166,0.3963176829133881,0.1878439572911157,0.2802389210921966,19.60936252076598,753,0.3557412755292861,1.2694213713884865,62.056658769187536,0.37943341230812466
3,835,9.492669872732021,10.176362340382887,8.178050508454213,5.417873116133677,11.608685640040324,2696,0.2983486026865395,0.157241133650718,0.21096432011718308,14.701452318266552,783,0.31728441338642377,1.5039719190912648,44.210003053903264,0.5578999694609673
4,836,10.176587151219897,10.86545347829982,7.188565709878544,4.652826290554414,10.45374779230951,3056,0.2847691533054287,0.138878434324055,0.20136219937502015,14.025615920589942,809,0.29409543173579733,1.4605294968400169,46.87910753700652,0.5312089246299349
5,836,10.866174946295493,11.518606497829374,5.979973009770578,4.1319616451295476,8.493634316935658,3220,0.233226691409845,0.12070383497346526,0.1649161750496037,11.468562771711902,824,0.27282839314720364,1.6543458703498426,36.53821918036378,0.6346178081963622
6,835,11.518640369079474,12.132822610463151,5.071839012714326,3.500412478582974,7.428558513527753,3258,0.19391852997413295,0.10133233636173511,0.13712110754243617,9.52601628320055,824,0.26101567387270724,1.9035411728418854,27.597862736221934,0.7240213726377805
7,836,12.132851845793404,12.729455062687201,4.631543092384202,3.270222292446629,6.430304649741952,3306,0.16764002041793297,0.09169630572081555,0.11853939523577167,8.23041198618783,826,0.2566077283087119,2.164746393368433,21.339584078314406,0.7866041592168559
8,835,12.7304192878444,13.371193758328458,4.062979257814707,2.719237076460488,5.74430027964394,3319,0.17317064578380126,0.08181212128460125,0.12245013793617948,8.502905766423229,827,0.2520108020490019,2.0580687477898056,23.60914417405932,0.7639085582594068
9,836,13.371501882244273,14.236826427660215,3.6331208933590116,2.539417184466606,5.072209188670029,3328,0.13687089849882045,0.07153170167060541,0.09678234047561159,6.715995252302398,829,0.26372629144023046,2.7249422791825073,13.467450419982292,0.865325495800177
10,836,14.239075800495865,19.110724475560644,3.02512106852727,2.0277040280725287,4.254467718714925,3344,0.10540627599168297,0.05977146071886974,0.0745334925333398,5.1697171726203415,833,0.2720314582619046,3.649788155844454,7.506970081410181,0.9249302991858982
