gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,subtype,n_group,evidence
ENSG00000101463,94.28743077069514,-24.538837322434812,1.8506906673192831,-13.259286252293693,3.9867204509316594e-40,8.337029806988286e-36,SYNDIG1,CC,7,"descriptive; model-level, source-confounded"
ENSG00000178372,49.030552303582716,-23.886509161758294,2.0009514909230033,-11.937575333592857,7.538890770374274e-33,7.882664189503341e-29,CALML5,CC,7,"descriptive; model-level, source-confounded"
ENSG00000162951,30.713508075186613,-23.270724675947207,1.971226328624716,-11.805201837062876,3.669094916437991e-32,2.5576037630850423e-28,LRRTM1,CC,7,"descriptive; model-level, source-confounded"
ENSG00000070193,56.19442894705115,-22.692590899718656,2.301089447009153,-9.861672665186228,6.102420090622253e-23,3.190345223377314e-19,FGF10,CC,7,"descriptive; model-level, source-confounded"
ENSG00000099399,21.384298967827842,-22.7948043216521,2.3433766635406506,-9.727332646221294,2.305593128840923e-22,9.642912702064275e-19,MAGEB2,CC,7,"descriptive; model-level, source-confounded"
ENSG00000154252,56.330876570052936,-24.108739416662868,2.607326906060959,-9.246534970593828,2.3188810803350158e-20,8.082073525327642e-17,GAL3ST2,CC,7,"descriptive; model-level, source-confounded"
ENSG00000100253,494.3143182937063,7.366692088514053,0.8612750567356546,8.553239793608771,1.1968090620585362e-17,3.5753815865383013e-14,MIOX,CC,7,"descriptive; model-level, source-confounded"
ENSG00000132874,126.96955780528285,4.941380288038974,0.6406376022912181,7.71322237465659,1.226800535442974e-14,2.8505391996870526e-11,SLC14A2,CC,7,"descriptive; model-level, source-confounded"
ENSG00000285096,126.96955780528285,4.941380288038974,0.6406376022912181,7.71322237465659,1.226800535442974e-14,2.8505391996870526e-11,SLC14A2,CC,7,"descriptive; model-level, source-confounded"
ENSG00000169851,2913.6387200667414,-7.065092971673169,0.9304161388984341,-7.59347637718095,3.1143498699307606e-14,6.512728447999206e-11,PCDH7,CC,7,"descriptive; model-level, source-confounded"
ENSG00000175745,2762.93975282348,-8.347452012804505,1.108362667483341,-7.531336319508407,5.0223641209979375e-14,9.547970772573533e-11,NR2F1,CC,7,"descriptive; model-level, source-confounded"
ENSG00000100031,1810.2838903416732,4.381321215614481,0.5857587672504432,7.47973647271289,7.44717940878465e-14,1.2977951316375386e-10,GGT1,CC,7,"descriptive; model-level, source-confounded"
ENSG00000118733,35.01338365718366,-23.462800440713835,3.2068416163319036,-7.316482460880434,2.545552761806818e-13,4.094815334992629e-10,OLFM3,CC,7,"descriptive; model-level, source-confounded"
ENSG00000182636,187.04766308521053,-25.7487068299668,3.5356282316353607,-7.282639786496177,3.273504538772166e-13,4.889680493914538e-10,NDN,CC,7,"descriptive; model-level, source-confounded"
ENSG00000135333,2677.318447064008,-10.68714420077139,1.4799563818539558,-7.221256201742581,5.150950246974624e-13,7.181111437648889e-10,EPHA7,CC,7,"descriptive; model-level, source-confounded"
ENSG00000285078,15.337697958797493,24.624313202401723,3.4760518802201945,7.083988976839398,1.4006305416244568e-12,1.830624117903165e-9,AC256309.3,CC,7,"descriptive; model-level, source-confounded"
ENSG00000181433,11.940157788269115,-22.036079740088994,3.160595819044029,-6.972128358618834,3.1218151306550087e-12,3.840199883073973e-9,SAGE1,CC,7,"descriptive; model-level, source-confounded"
