gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,subtype,n_group,evidence
ENSG00000274853,220.76799935440187,-24.747018050537413,2.6186238600367777,-9.450390500218633,3.3756896369589317e-21,7.066668686009827e-17,MRM1,MC,3,"descriptive; model-level, source-confounded"
ENSG00000140557,268.9494045772227,-25.03993188981867,2.7302860449505033,-9.171175282578355,4.678895821796932e-20,4.897400256674848e-16,ST8SIA2,MC,3,"descriptive; model-level, source-confounded"
ENSG00000198889,110.08586413642801,-23.655510145512714,2.6114317565401266,-9.058444696580464,1.32323786417104e-19,9.233553816185518e-16,DCAF12L1,MC,3,"descriptive; model-level, source-confounded"
ENSG00000119865,105.03581363645444,-23.74094440462686,2.7328010294406546,-8.687403198719563,3.70818155918698e-18,1.940676819000506e-14,CNRIP1,MC,3,"descriptive; model-level, source-confounded"
ENSG00000276495,1223.6327971433802,-6.936334354602541,0.8153847754285836,-8.50682348214885,1.7876337427654695e-17,7.484464954210467e-14,APBA2,MC,3,"descriptive; model-level, source-confounded"
ENSG00000174963,156.1437654693476,-24.293950543485693,2.9174427134386343,-8.327138843748438,8.281959076921055e-17,2.889575521937756e-13,ZIC4,MC,3,"descriptive; model-level, source-confounded"
ENSG00000133104,1165.2098391972856,-8.53243327099185,1.0603545809339945,-8.046773621212829,8.500520872880809e-16,2.5421414850412407e-12,SPART,MC,3,"descriptive; model-level, source-confounded"
ENSG00000105825,23338.46272395663,-10.04038182119332,1.2844408505941993,-7.816928133785613,5.412798534642712e-15,1.2898500560024921e-11,TFPI2,MC,3,"descriptive; model-level, source-confounded"
ENSG00000259207,4908.309511379802,-10.070334812109031,1.288775085943027,-7.813880732137471,5.54535707653694e-15,1.2898500560024921e-11,ITGB3,MC,3,"descriptive; model-level, source-confounded"
ENSG00000034053,512.2804772368124,-11.484686564405058,1.4745580121345678,-7.788562043605083,6.7776089106219706e-15,1.4188246493496035e-11,APBA2,MC,3,"descriptive; model-level, source-confounded"
ENSG00000285213,319.87771703744073,-25.265237095755186,3.3028299597997166,-7.649572458549234,2.016486261632555e-14,3.5177602834179924e-11,VARS2,MC,3,"descriptive; model-level, source-confounded"
ENSG00000285515,319.87771703744073,-25.265237095755186,3.3028299597997166,-7.649572458549234,2.016486261632555e-14,3.5177602834179924e-11,VARS2,MC,3,"descriptive; model-level, source-confounded"
ENSG00000172201,4992.223247664157,-9.258904145155517,1.2198566553674264,-7.590157502863886,3.195168651305416e-14,5.1452046574175065e-11,ID4,MC,3,"descriptive; model-level, source-confounded"
ENSG00000267453,30.71170001909976,-21.91400898361182,2.9131805343058432,-7.522365581381148,5.3793912957614945e-14,8.04372695610508e-11,LINC01835,MC,3,"descriptive; model-level, source-confounded"
ENSG00000206396,28.67105076966547,8.450612001774967,1.1293664577251898,7.482612879079561,7.285926602511311e-14,1.0168239166464785e-10,MPIG6B,MC,3,"descriptive; model-level, source-confounded"
ENSG00000234196,187.82394298118257,-24.54800616438787,3.401956266579474,-7.215850011226004,5.359810901917432e-13,7.01264258879622e-10,ZBTB12,MC,3,"descriptive; model-level, source-confounded"
