cell_line,patient_id,histotype_code,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,cohort,gene,ranking_direction,rna_preference_percentile,protein_preference_percentile,joint_mean_score,joint_weaker_assay_score,joint_rna25_score,joint_rna75_score,joint_mean_rank,joint_weaker_assay_rank,joint_rna25_rank,joint_rna75_rank,rank_best_across_methods,rank_worst_across_methods,absolute_assay_percentile_gap,both_assays_same_direction,n_ranked,protein_isodoping
OV3133-R,3133,HGS,4.133909,2.360057723959251,14.0244991857289,matched_models,CDH6,higher,0.4482758620689655,0.9655172413793104,0.7068965517241379,0.4482758620689655,0.8362068965517242,0.5775862068965517,9.0,15.0,5.0,12.0,5.0,15.0,0.5172413793103449,False,30.0,False
OV4453,OV4453,HGS,43.89297,5.4884176391812005,13.0967546842152,matched_models,CDH6,higher,0.7586206896551724,0.6551724137931034,0.7068965517241379,0.6551724137931034,0.6810344827586207,0.732758620689655,9.0,8.0,11.0,8.0,8.0,11.0,0.10344827586206895,True,30.0,False
OV4485,OV4485,HGS,0.490577,0.5758709037751254,12.81109651076238,matched_models,CDH6,higher,0.27586206896551724,0.41379310344827586,0.3448275862068966,0.27586206896551724,0.3793103448275862,0.3103448275862069,20.0,18.0,18.0,19.0,18.0,20.0,0.13793103448275862,False,30.0,False
OV866-2,OV866-2,HGS,59.06082000000001,5.908352266783054,12.85879075397508,matched_models,CDH6,higher,0.8620689655172413,0.5172413793103449,0.6896551724137931,0.5172413793103449,0.603448275862069,0.7758620689655172,11.0,11.0,12.0,7.0,7.0,12.0,0.34482758620689646,True,30.0,False
TOV1369,1369,HGS,106.79796,6.752186066142219,13.99277178967458,matched_models,CDH6,higher,0.896551724137931,0.9310344827586207,0.9137931034482758,0.896551724137931,0.9224137931034483,0.9051724137931034,3.0,2.0,2.0,3.0,2.0,3.0,0.03448275862068961,True,30.0,False
TOV3041G,TOV3041G,HGS,121.3898,6.935339518208912,13.78205679982036,matched_models,CDH6,higher,0.9310344827586207,0.8275862068965517,0.8793103448275862,0.8275862068965517,0.853448275862069,0.9051724137931034,4.0,4.0,4.0,3.0,3.0,4.0,0.10344827586206895,True,30.0,False
TOV3133G,3133,HGS,21.364688,4.483150726961488,13.80649394923442,matched_models,CDH6,higher,0.6206896551724138,0.8620689655172413,0.7413793103448276,0.6206896551724138,0.8017241379310345,0.6810344827586208,7.0,9.0,6.0,10.0,6.0,10.0,0.2413793103448275,True,30.0,False
TOV3291G,3291,HGS,37.590464,5.270172485397122,12.60850462885849,matched_models,CDH6,higher,0.6896551724137931,0.2413793103448276,0.4655172413793104,0.2413793103448276,0.35344827586206895,0.5775862068965517,17.0,19.0,21.0,12.0,12.0,21.0,0.4482758620689655,False,30.0,False
OV3331,OV3331,HGS,580.40567,9.183401330806829,14.717332809272,matched_models,CDH6,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,30.0,False
OV90,OV90,HGS,53.973361,5.780660781463359,13.37868606530245,matched_models,CDH6,higher,0.7931034482758621,0.7586206896551724,0.7758620689655172,0.7586206896551724,0.7672413793103448,0.7844827586206897,5.0,5.0,7.0,6.0,5.0,7.0,0.034482758620689724,True,30.0,False
TOV21G,TOV21G,CC,2.5052115,1.8095014972445675,12.77734327867617,matched_models,CDH6,higher,0.41379310344827586,0.3448275862068966,0.3793103448275862,0.3448275862068966,0.3620689655172414,0.39655172413793105,19.0,16.0,20.0,18.0,16.0,20.0,0.06896551724137928,False,30.0,False
TOV3392D,TOV3392D,CC,0.0444445,0.06273583208705853,12.51461178797689,matched_models,CDH6,higher,0.0,0.13793103448275862,0.06896551724137931,0.0,0.10344827586206896,0.034482758620689655,29.0,29.0,29.0,30.0,29.0,30.0,0.13793103448275862,False,30.0,False
VOA10816,VOA10816,CC,10.210854,3.4868242762097257,12.98901079705602,matched_models,CDH6,higher,0.5172413793103449,0.6206896551724138,0.5689655172413793,0.5172413793103449,0.5948275862068966,0.5431034482758621,13.0,11.0,13.0,15.0,11.0,15.0,0.10344827586206895,True,30.0,False
VOA12539,VOA12539,CC,0.0809543,0.11230553088287765,12.37670499989213,matched_models,CDH6,higher,0.06896551724137931,0.0,0.034482758620689655,0.0,0.017241379310344827,0.05172413793103448,30.0,29.0,30.0,29.0,29.0,30.0,0.06896551724137931,False,30.0,False
VOA295,VOA295,CC,0.8723132,0.9048217887097026,12.4253330574106,matched_models,CDH6,higher,0.3793103448275862,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.12068965517241378,0.29310344827586204,25.0,27.0,28.0,22.0,22.0,28.0,0.3448275862068965,False,30.0,False
VOA4841,VOA4841,CC,0.1586346,0.21242565358781076,12.82396707625634,matched_models,CDH6,higher,0.13793103448275862,0.4482758620689655,0.2931034482758621,0.13793103448275862,0.3706896551724138,0.21551724137931033,21.0,23.0,19.0,25.0,19.0,25.0,0.3103448275862069,False,30.0,False
TOV112D,TOV112D,EC,0.11477,0.15674608316110966,12.79560902172266,matched_models,CDH6,higher,0.10344827586206896,0.3793103448275862,0.24137931034482757,0.10344827586206896,0.31034482758620685,0.1724137931034483,24.0,24.0,22.0,26.0,22.0,26.0,0.27586206896551724,False,30.0,False
VOA4395,VOA4395,EC,11.029018,3.588446966465652,12.8378439060687,matched_models,CDH6,higher,0.5517241379310345,0.4827586206896552,0.5172413793103449,0.4827586206896552,0.5,0.5344827586206896,14.0,13.0,15.0,16.0,13.0,16.0,0.06896551724137928,False,30.0,False
TOV2414,TOV2414,MC,0.4451981,0.5312672631750093,12.62311421781481,matched_models,CDH6,higher,0.2413793103448276,0.27586206896551724,0.25862068965517243,0.2413793103448276,0.2672413793103448,0.25,22.0,19.0,23.0,23.0,19.0,23.0,0.03448275862068964,False,30.0,False
VOA8762,VOA8762,MC,41.45872,5.407988973961848,13.37105587173095,matched_models,CDH6,higher,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.7241379310344828,8.0,6.0,9.0,9.0,6.0,9.0,0.0,True,30.0,False
VOA8771,VOA8771,MC,22.512179,4.555336342377698,12.69991707862449,matched_models,CDH6,higher,0.6551724137931034,0.3103448275862069,0.48275862068965514,0.3103448275862069,0.39655172413793105,0.5689655172413793,16.0,17.0,17.0,14.0,14.0,17.0,0.3448275862068965,False,30.0,False
VOA5217,VOA5217,MMMT,0.2021860999999999,0.26566024443934605,12.94137959954495,matched_models,CDH6,higher,0.20689655172413793,0.5862068965517241,0.396551724137931,0.20689655172413793,0.4913793103448275,0.3017241379310345,18.0,21.0,16.0,20.0,16.0,21.0,0.3793103448275862,False,30.0,False
VOA5436,VOA5436,MMMT,0.63008617,0.7049482305580568,12.51608267162933,matched_models,CDH6,higher,0.3448275862068966,0.1724137931034483,0.25862068965517243,0.1724137931034483,0.21551724137931036,0.3017241379310345,22.0,22.0,24.0,20.0,20.0,24.0,0.1724137931034483,False,30.0,False
BIN67,BIN67,SCCOHT,6.437824000000001,2.894880610099492,12.91102436135045,matched_models,CDH6,higher,0.4827586206896552,0.5517241379310345,0.5172413793103449,0.4827586206896552,0.5344827586206896,0.5,14.0,13.0,14.0,17.0,13.0,17.0,0.06896551724137928,False,30.0,False
COV434,COV434,SCCOHT,0.1997295,0.262709161667555,12.49071189622325,matched_models,CDH6,higher,0.1724137931034483,0.10344827586206896,0.13793103448275862,0.10344827586206896,0.1206896551724138,0.15517241379310345,27.0,24.0,27.0,27.0,24.0,27.0,0.06896551724137932,False,30.0,False
OV1369-R2,1369,HGS,57.938798000000006,5.881145733273913,13.21095301914609,selected_patient_representatives,CDH6,higher,0.8846153846153846,0.7692307692307693,0.8269230769230769,0.7692307692307693,0.7980769230769231,0.8557692307692307,4.0,4.0,6.0,3.0,3.0,6.0,0.11538461538461531,True,27.0,False
OV1946,OV1946,HGS,0.0534075,0.07506363627176396,12.5775117943425,selected_patient_representatives,CDH6,higher,0.038461538461538464,0.23076923076923078,0.13461538461538464,0.038461538461538464,0.18269230769230768,0.08653846153846154,25.0,24.0,22.0,25.0,22.0,25.0,0.19230769230769232,False,27.0,False
OV2085,OV2085,HGS,0.5656093,0.6467242309700667,12.44081704169464,selected_patient_representatives,CDH6,higher,0.34615384615384615,0.07692307692307693,0.21153846153846154,0.07692307692307693,0.14423076923076922,0.2788461538461538,23.0,23.0,23.0,21.0,21.0,23.0,0.2692307692307692,False,27.0,False
OV2295,2295,HGS,19.23865,4.339041154521293,13.44842293706447,selected_patient_representatives,CDH6,higher,0.6538461538461539,0.8846153846153846,0.7692307692307692,0.6538461538461539,0.8269230769230769,0.7115384615384616,6.0,7.0,5.0,8.0,5.0,8.0,0.23076923076923073,True,27.0,False
OV3133-R,3133,HGS,4.133909,2.360057723959251,14.0244991857289,selected_patient_representatives,CDH6,higher,0.5,0.9615384615384616,0.7307692307692308,0.5,0.8461538461538461,0.6153846153846154,9.0,12.0,3.0,9.0,3.0,12.0,0.46153846153846156,True,27.0,False
OV4453,OV4453,HGS,43.89297,5.4884176391812005,13.0967546842152,selected_patient_representatives,CDH6,higher,0.8076923076923077,0.7307692307692307,0.7692307692307692,0.7307692307692307,0.75,0.7884615384615385,6.0,6.0,8.0,6.0,6.0,8.0,0.07692307692307698,True,27.0,False
OV4485,OV4485,HGS,0.490577,0.5758709037751254,12.81109651076238,selected_patient_representatives,CDH6,higher,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.3076923076923077,0.4230769230769231,0.34615384615384615,17.0,15.0,15.0,16.0,15.0,17.0,0.15384615384615385,False,27.0,False
OV866-2,OV866-2,HGS,59.06082000000001,5.908352266783054,12.85879075397508,selected_patient_representatives,CDH6,higher,0.9230769230769231,0.5769230769230769,0.75,0.5769230769230769,0.6634615384615384,0.8365384615384615,8.0,8.0,9.0,5.0,5.0,9.0,0.34615384615384626,True,27.0,False
TOV3041G,TOV3041G,HGS,121.3898,6.935339518208912,13.78205679982036,selected_patient_representatives,CDH6,higher,0.9615384615384616,0.9230769230769231,0.9423076923076923,0.9230769230769231,0.9326923076923077,0.9519230769230769,2.0,2.0,2.0,2.0,2.0,2.0,0.038461538461538436,True,27.0,False
TOV3291G,3291,HGS,37.590464,5.270172485397122,12.60850462885849,selected_patient_representatives,CDH6,higher,0.7307692307692307,0.2692307692307692,0.5,0.2692307692307692,0.3846153846153846,0.6153846153846153,14.0,16.0,18.0,10.0,10.0,18.0,0.4615384615384615,False,27.0,False
OV3331,OV3331,HGS,580.40567,9.183401330806829,14.717332809272,selected_patient_representatives,CDH6,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27.0,False
OV90,OV90,HGS,53.973361,5.780660781463359,13.37868606530245,selected_patient_representatives,CDH6,higher,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,3.0,3.0,3.0,4.0,3.0,4.0,0.0,True,27.0,False
TOV21G,TOV21G,CC,2.5052115,1.8095014972445675,12.77734327867617,selected_patient_representatives,CDH6,higher,0.46153846153846156,0.38461538461538464,0.42307692307692313,0.38461538461538464,0.40384615384615385,0.4423076923076923,16.0,13.0,17.0,15.0,13.0,17.0,0.07692307692307693,False,27.0,False
TOV3392D,TOV3392D,CC,0.0444445,0.06273583208705853,12.51461178797689,selected_patient_representatives,CDH6,higher,0.0,0.15384615384615385,0.07692307692307693,0.0,0.11538461538461539,0.038461538461538464,26.0,26.0,26.0,27.0,26.0,27.0,0.15384615384615385,False,27.0,False
VOA10816,VOA10816,CC,10.210854,3.4868242762097257,12.98901079705602,selected_patient_representatives,CDH6,higher,0.5769230769230769,0.6923076923076923,0.6346153846153846,0.5769230769230769,0.6634615384615383,0.6057692307692307,10.0,8.0,10.0,11.0,8.0,11.0,0.11538461538461542,True,27.0,False
VOA12539,VOA12539,CC,0.0809543,0.11230553088287765,12.37670499989213,selected_patient_representatives,CDH6,higher,0.07692307692307693,0.0,0.038461538461538464,0.0,0.019230769230769232,0.057692307692307696,27.0,26.0,27.0,26.0,26.0,27.0,0.07692307692307693,False,27.0,False
VOA295,VOA295,CC,0.8723132,0.9048217887097026,12.4253330574106,selected_patient_representatives,CDH6,higher,0.4230769230769231,0.038461538461538464,0.23076923076923078,0.038461538461538464,0.1346153846153846,0.3269230769230769,22.0,24.0,24.0,19.0,19.0,24.0,0.3846153846153846,False,27.0,False
VOA4841,VOA4841,CC,0.1586346,0.21242565358781076,12.82396707625634,selected_patient_representatives,CDH6,higher,0.15384615384615385,0.5,0.3269230769230769,0.15384615384615385,0.41346153846153844,0.2403846153846154,18.0,20.0,16.0,22.0,16.0,22.0,0.34615384615384615,False,27.0,False
TOV112D,TOV112D,EC,0.11477,0.15674608316110966,12.79560902172266,selected_patient_representatives,CDH6,higher,0.11538461538461539,0.4230769230769231,0.2692307692307692,0.11538461538461539,0.34615384615384615,0.1923076923076923,21.0,21.0,19.0,23.0,19.0,23.0,0.3076923076923077,False,27.0,False
VOA4395,VOA4395,EC,11.029018,3.588446966465652,12.8378439060687,selected_patient_representatives,CDH6,higher,0.6153846153846154,0.5384615384615384,0.5769230769230769,0.5384615384615384,0.5576923076923077,0.5961538461538461,11.0,10.0,12.0,13.0,10.0,13.0,0.07692307692307698,True,27.0,False
TOV2414,TOV2414,MC,0.4451981,0.5312672631750093,12.62311421781481,selected_patient_representatives,CDH6,higher,0.2692307692307692,0.3076923076923077,0.28846153846153844,0.2692307692307692,0.2980769230769231,0.27884615384615385,20.0,16.0,20.0,20.0,16.0,20.0,0.03846153846153849,False,27.0,False
VOA8762,VOA8762,MC,41.45872,5.407988973961848,13.37105587173095,selected_patient_representatives,CDH6,higher,0.7692307692307693,0.8076923076923077,0.7884615384615385,0.7692307692307693,0.7980769230769231,0.778846153846154,5.0,4.0,6.0,7.0,4.0,7.0,0.038461538461538436,True,27.0,False
VOA8771,VOA8771,MC,22.512179,4.555336342377698,12.69991707862449,selected_patient_representatives,CDH6,higher,0.6923076923076923,0.34615384615384615,0.5192307692307692,0.34615384615384615,0.43269230769230765,0.6057692307692307,13.0,14.0,14.0,11.0,11.0,14.0,0.34615384615384615,False,27.0,False
VOA5217,VOA5217,MMMT,0.2021860999999999,0.26566024443934605,12.94137959954495,selected_patient_representatives,CDH6,higher,0.23076923076923078,0.6538461538461539,0.4423076923076923,0.23076923076923078,0.5480769230769231,0.33653846153846156,15.0,18.0,13.0,17.0,13.0,18.0,0.4230769230769231,False,27.0,False
VOA5436,VOA5436,MMMT,0.63008617,0.7049482305580568,12.51608267162933,selected_patient_representatives,CDH6,higher,0.38461538461538464,0.19230769230769232,0.2884615384615385,0.19230769230769232,0.24038461538461542,0.33653846153846156,19.0,19.0,21.0,17.0,17.0,21.0,0.19230769230769232,False,27.0,False
BIN67,BIN67,SCCOHT,6.437824000000001,2.894880610099492,12.91102436135045,selected_patient_representatives,CDH6,higher,0.5384615384615384,0.6153846153846154,0.5769230769230769,0.5384615384615384,0.5961538461538461,0.5576923076923077,11.0,10.0,11.0,14.0,10.0,14.0,0.07692307692307698,True,27.0,False
COV434,COV434,SCCOHT,0.1997295,0.262709161667555,12.49071189622325,selected_patient_representatives,CDH6,higher,0.19230769230769232,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.1346153846153846,0.1730769230769231,24.0,21.0,24.0,24.0,21.0,24.0,0.07692307692307693,False,27.0,False
OV1369-R2;TOV1369,1369,HGS,82.368379,6.316665899708066,13.601862404410335,patient_means_of_matched_models,CDH6,higher,0.9230769230769231,0.8461538461538461,0.8846153846153846,0.8461538461538461,0.8653846153846154,0.9038461538461539,3.0,3.0,4.0,3.0,3.0,4.0,0.07692307692307698,True,27.0,False
OV2295;OV2295-R2,2295,HGS,89.533555,5.834210035443016,13.631378150309356,patient_means_of_matched_models,CDH6,higher,0.8461538461538461,0.8846153846153846,0.8653846153846154,0.8461538461538461,0.875,0.8557692307692307,4.0,3.0,3.0,4.0,3.0,4.0,0.038461538461538436,True,27.0,False
OV3133-R;TOV3133G,3133,HGS,12.7492985,3.4216042254603694,13.91549656748166,patient_means_of_matched_models,CDH6,higher,0.5384615384615384,0.9615384615384616,0.75,0.5384615384615384,0.8557692307692307,0.6442307692307693,6.0,10.0,5.0,9.0,5.0,10.0,0.42307692307692313,True,27.0,False
TOV3291G,3291,HGS,37.590464,5.270172485397122,12.60850462885849,patient_means_of_matched_models,CDH6,higher,0.6923076923076923,0.2692307692307692,0.4807692307692307,0.2692307692307692,0.375,0.5865384615384615,14.0,16.0,18.0,12.0,12.0,18.0,0.4230769230769231,False,27.0,False
BIN67,BIN67,SCCOHT,6.437824000000001,2.894880610099492,12.91102436135045,patient_means_of_matched_models,CDH6,higher,0.5,0.6153846153846154,0.5576923076923077,0.5,0.5865384615384616,0.5288461538461539,12.0,12.0,11.0,14.0,11.0,14.0,0.11538461538461542,True,27.0,False
COV434,COV434,SCCOHT,0.1997295,0.262709161667555,12.49071189622325,patient_means_of_matched_models,CDH6,higher,0.19230769230769232,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.1346153846153846,0.1730769230769231,24.0,21.0,24.0,24.0,21.0,24.0,0.07692307692307693,False,27.0,False
OV1946,OV1946,HGS,0.0534075,0.07506363627176396,12.5775117943425,patient_means_of_matched_models,CDH6,higher,0.038461538461538464,0.23076923076923078,0.13461538461538464,0.038461538461538464,0.18269230769230768,0.08653846153846154,25.0,24.0,22.0,25.0,22.0,25.0,0.19230769230769232,False,27.0,False
OV2085,OV2085,HGS,0.5656093,0.6467242309700667,12.44081704169464,patient_means_of_matched_models,CDH6,higher,0.34615384615384615,0.07692307692307693,0.21153846153846154,0.07692307692307693,0.14423076923076922,0.2788461538461538,23.0,23.0,23.0,21.0,21.0,23.0,0.2692307692307692,False,27.0,False
OV3331,OV3331,HGS,580.40567,9.183401330806829,14.717332809272,patient_means_of_matched_models,CDH6,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27.0,False
OV4453,OV4453,HGS,43.89297,5.4884176391812005,13.0967546842152,patient_means_of_matched_models,CDH6,higher,0.7692307692307693,0.7307692307692307,0.75,0.7307692307692307,0.7403846153846153,0.7596153846153847,6.0,6.0,8.0,7.0,6.0,8.0,0.03846153846153855,True,27.0,False
OV4485,OV4485,HGS,0.490577,0.5758709037751254,12.81109651076238,patient_means_of_matched_models,CDH6,higher,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.3076923076923077,0.4230769230769231,0.34615384615384615,17.0,15.0,14.0,16.0,14.0,17.0,0.15384615384615385,False,27.0,False
OV866-2,OV866-2,HGS,59.06082000000001,5.908352266783054,12.85879075397508,patient_means_of_matched_models,CDH6,higher,0.8846153846153846,0.5769230769230769,0.7307692307692307,0.5769230769230769,0.6538461538461537,0.8076923076923077,9.0,8.0,10.0,5.0,5.0,10.0,0.3076923076923077,True,27.0,False
OV90,OV90,HGS,53.973361,5.780660781463359,13.37868606530245,patient_means_of_matched_models,CDH6,higher,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,5.0,5.0,6.0,5.0,5.0,6.0,0.0,True,27.0,False
TOV112D,TOV112D,EC,0.11477,0.15674608316110966,12.79560902172266,patient_means_of_matched_models,CDH6,higher,0.11538461538461539,0.4230769230769231,0.2692307692307692,0.11538461538461539,0.34615384615384615,0.1923076923076923,21.0,21.0,19.0,23.0,19.0,23.0,0.3076923076923077,False,27.0,False
TOV21G,TOV21G,CC,2.5052115,1.8095014972445675,12.77734327867617,patient_means_of_matched_models,CDH6,higher,0.46153846153846156,0.38461538461538464,0.42307692307692313,0.38461538461538464,0.40384615384615385,0.4423076923076923,16.0,13.0,17.0,15.0,13.0,17.0,0.07692307692307693,False,27.0,False
TOV2414,TOV2414,MC,0.4451981,0.5312672631750093,12.62311421781481,patient_means_of_matched_models,CDH6,higher,0.2692307692307692,0.3076923076923077,0.28846153846153844,0.2692307692307692,0.2980769230769231,0.27884615384615385,20.0,16.0,20.0,20.0,16.0,20.0,0.03846153846153849,False,27.0,False
TOV3041G,TOV3041G,HGS,121.3898,6.935339518208912,13.78205679982036,patient_means_of_matched_models,CDH6,higher,0.9615384615384616,0.9230769230769231,0.9423076923076923,0.9230769230769231,0.9326923076923077,0.9519230769230769,2.0,2.0,2.0,2.0,2.0,2.0,0.038461538461538436,True,27.0,False
TOV3392D,TOV3392D,CC,0.0444445,0.06273583208705853,12.51461178797689,patient_means_of_matched_models,CDH6,higher,0.0,0.15384615384615385,0.07692307692307693,0.0,0.11538461538461539,0.038461538461538464,26.0,26.0,26.0,27.0,26.0,27.0,0.15384615384615385,False,27.0,False
VOA10816,VOA10816,CC,10.210854,3.4868242762097257,12.98901079705602,patient_means_of_matched_models,CDH6,higher,0.5769230769230769,0.6923076923076923,0.6346153846153846,0.5769230769230769,0.6634615384615383,0.6057692307692307,10.0,8.0,9.0,10.0,8.0,10.0,0.11538461538461542,True,27.0,False
VOA12539,VOA12539,CC,0.0809543,0.11230553088287765,12.37670499989213,patient_means_of_matched_models,CDH6,higher,0.07692307692307693,0.0,0.038461538461538464,0.0,0.019230769230769232,0.057692307692307696,27.0,26.0,27.0,26.0,26.0,27.0,0.07692307692307693,False,27.0,False
VOA295,VOA295,CC,0.8723132,0.9048217887097026,12.4253330574106,patient_means_of_matched_models,CDH6,higher,0.4230769230769231,0.038461538461538464,0.23076923076923078,0.038461538461538464,0.1346153846153846,0.3269230769230769,22.0,24.0,24.0,19.0,19.0,24.0,0.3846153846153846,False,27.0,False
VOA4395,VOA4395,EC,11.029018,3.588446966465652,12.8378439060687,patient_means_of_matched_models,CDH6,higher,0.6153846153846154,0.5384615384615384,0.5769230769230769,0.5384615384615384,0.5576923076923077,0.5961538461538461,11.0,10.0,12.0,11.0,10.0,12.0,0.07692307692307698,True,27.0,False
VOA4841,VOA4841,CC,0.1586346,0.21242565358781076,12.82396707625634,patient_means_of_matched_models,CDH6,higher,0.15384615384615385,0.5,0.3269230769230769,0.15384615384615385,0.41346153846153844,0.2403846153846154,18.0,20.0,16.0,22.0,16.0,22.0,0.34615384615384615,False,27.0,False
VOA5217,VOA5217,MMMT,0.2021860999999999,0.26566024443934605,12.94137959954495,patient_means_of_matched_models,CDH6,higher,0.23076923076923078,0.6538461538461539,0.4423076923076923,0.23076923076923078,0.5480769230769231,0.33653846153846156,15.0,18.0,13.0,17.0,13.0,18.0,0.4230769230769231,False,27.0,False
VOA5436,VOA5436,MMMT,0.63008617,0.7049482305580568,12.51608267162933,patient_means_of_matched_models,CDH6,higher,0.38461538461538464,0.19230769230769232,0.2884615384615385,0.19230769230769232,0.24038461538461542,0.33653846153846156,19.0,19.0,21.0,17.0,17.0,21.0,0.19230769230769232,False,27.0,False
VOA8762,VOA8762,MC,41.45872,5.407988973961848,13.37105587173095,patient_means_of_matched_models,CDH6,higher,0.7307692307692307,0.7692307692307693,0.75,0.7307692307692307,0.7596153846153847,0.7403846153846153,6.0,6.0,7.0,8.0,6.0,8.0,0.03846153846153855,True,27.0,False
VOA8771,VOA8771,MC,22.512179,4.555336342377698,12.69991707862449,patient_means_of_matched_models,CDH6,higher,0.6538461538461539,0.34615384615384615,0.5,0.34615384615384615,0.423076923076923,0.576923076923077,13.0,14.0,15.0,13.0,13.0,15.0,0.3076923076923077,False,27.0,False
OV1369-R2,1369,HGS,57.938798000000006,5.881145733273913,13.21095301914609,HGS_selected_representatives,CDH6,higher,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5909090909090908,0.6818181818181818,3.0,4.0,6.0,4.0,3.0,6.0,0.18181818181818188,True,12.0,False
OV1946,OV1946,HGS,0.0534075,0.07506363627176396,12.5775117943425,HGS_selected_representatives,CDH6,higher,0.0,0.09090909090909091,0.045454545454545456,0.0,0.06818181818181818,0.022727272727272728,12.0,11.0,11.0,12.0,11.0,12.0,0.09090909090909091,False,12.0,False
OV2085,OV2085,HGS,0.5656093,0.6467242309700667,12.44081704169464,HGS_selected_representatives,CDH6,higher,0.18181818181818182,0.0,0.09090909090909091,0.0,0.045454545454545456,0.13636363636363635,11.0,11.0,12.0,10.0,10.0,12.0,0.18181818181818182,False,12.0,False
OV2295,2295,HGS,19.23865,4.339041154521293,13.44842293706447,HGS_selected_representatives,CDH6,higher,0.36363636363636365,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.45454545454545453,7.0,6.0,4.0,7.0,4.0,7.0,0.36363636363636365,False,12.0,False
OV3133-R,3133,HGS,4.133909,2.360057723959251,14.0244991857289,HGS_selected_representatives,CDH6,higher,0.2727272727272727,0.9090909090909091,0.5909090909090908,0.2727272727272727,0.75,0.43181818181818177,6.0,8.0,3.0,8.0,3.0,8.0,0.6363636363636364,False,12.0,False
OV4453,OV4453,HGS,43.89297,5.4884176391812005,13.0967546842152,HGS_selected_representatives,CDH6,higher,0.5454545454545454,0.45454545454545453,0.5,0.45454545454545453,0.47727272727272724,0.5227272727272727,8.0,5.0,8.0,6.0,5.0,8.0,0.09090909090909088,False,12.0,False
OV4485,OV4485,HGS,0.490577,0.5758709037751254,12.81109651076238,HGS_selected_representatives,CDH6,higher,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.22727272727272727,0.13636363636363635,10.0,10.0,10.0,10.0,10.0,10.0,0.1818181818181818,False,12.0,False
OV866-2,OV866-2,HGS,59.06082000000001,5.908352266783054,12.85879075397508,HGS_selected_representatives,CDH6,higher,0.8181818181818182,0.36363636363636365,0.5909090909090909,0.36363636363636365,0.4772727272727273,0.7045454545454546,5.0,6.0,7.0,3.0,3.0,7.0,0.4545454545454546,False,12.0,False
TOV3041G,TOV3041G,HGS,121.3898,6.935339518208912,13.78205679982036,HGS_selected_representatives,CDH6,higher,0.9090909090909091,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.8409090909090909,0.8863636363636364,2.0,2.0,2.0,2.0,2.0,2.0,0.09090909090909083,True,12.0,False
TOV3291G,3291,HGS,37.590464,5.270172485397122,12.60850462885849,HGS_selected_representatives,CDH6,higher,0.45454545454545453,0.18181818181818182,0.3181818181818182,0.18181818181818182,0.25,0.38636363636363635,9.0,9.0,9.0,9.0,9.0,9.0,0.2727272727272727,False,12.0,False
OV3331,OV3331,HGS,580.40567,9.183401330806829,14.717332809272,HGS_selected_representatives,CDH6,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,12.0,False
OV90,OV90,HGS,53.973361,5.780660781463359,13.37868606530245,HGS_selected_representatives,CDH6,higher,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,3.0,3.0,4.0,5.0,3.0,5.0,0.0,True,12.0,False
TOV21G,TOV21G,CC,2.5052115,1.8095014972445675,12.77734327867617,CC_selected_representatives,CDH6,higher,0.8,0.6,0.7,0.6,0.6499999999999999,0.7500000000000001,2.0,2.0,3.0,2.0,2.0,3.0,0.20000000000000007,True,6.0,False
TOV3392D,TOV3392D,CC,0.0444445,0.06273583208705853,12.51461178797689,CC_selected_representatives,CDH6,higher,0.0,0.4,0.2,0.0,0.30000000000000004,0.1,5.0,5.0,4.0,6.0,4.0,6.0,0.4,False,6.0,False
VOA10816,VOA10816,CC,10.210854,3.4868242762097257,12.98901079705602,CC_selected_representatives,CDH6,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,6.0,False
VOA12539,VOA12539,CC,0.0809543,0.11230553088287765,12.37670499989213,CC_selected_representatives,CDH6,higher,0.2,0.0,0.1,0.0,0.05,0.15000000000000002,6.0,5.0,6.0,5.0,5.0,6.0,0.2,False,6.0,False
